Optimising function: ackley (dim=100, swarm size=30)
Step 2600,    w=0.58,    min_err=,    1.18177e+01
Step 2650,    w=0.58,    min_err=,    1.15740e+01
Step 2700,    w=0.58,    min_err=,    1.14773e+01
Step 2750,    w=0.57,    min_err=,    1.14169e+01
Step 2800,    w=0.57,    min_err=,    1.13761e+01
Step 2850,    w=0.57,    min_err=,    1.13761e+01
Step 2900,    w=0.56,    min_err=,    1.13099e+01
Step 2950,    w=0.56,    min_err=,    1.12532e+01
Step 3000,    w=0.56,    min_err=,    1.11785e+01
Step 3050,    w=0.56,    min_err=,    1.11329e+01
Step 3100,    w=0.55,    min_err=,    1.10758e+01
Step 3150,    w=0.55,    min_err=,    1.10758e+01
Step 3200,    w=0.55,    min_err=,    1.10758e+01
Step 3250,    w=0.54,    min_err=,    1.10736e+01
Step 3300,    w=0.54,    min_err=,    1.10403e+01
Step 3350,    w=0.54,    min_err=,    1.10403e+01
Step 3400,    w=0.53,    min_err=,    1.10202e+01
Step 3450,    w=0.53,    min_err=,    1.10134e+01
Step 3500,    w=0.53,    min_err=,    1.10044e+01
Step 3550,    w=0.53,    min_err=,    1.10044e+01
Step 3600,    w=0.52,    min_err=,    1.09886e+01
Step 3650,    w=0.52,    min_err=,    1.09728e+01
Step 3700,    w=0.52,    min_err=,    1.09569e+01
Step 3750,    w=0.51,    min_err=,    1.09546e+01
Step 3800,    w=0.51,    min_err=,    1.09523e+01
Step 3850,    w=0.51,    min_err=,    1.09523e+01
Step 3900,    w=0.51,    min_err=,    1.09523e+01
Step 3950,    w=0.50,    min_err=,    1.09454e+01
Step 4000,    w=0.50,    min_err=,    1.09363e+01
Step 4050,    w=0.50,    min_err=,    1.09271e+01
Step 4100,    w=0.49,    min_err=,    1.09225e+01
Step 4150,    w=0.49,    min_err=,    1.09225e+01
Step 4200,    w=0.49,    min_err=,    1.09202e+01
Step 4250,    w=0.49,    min_err=,    1.09202e+01
Step 4300,    w=0.48,    min_err=,    1.09110e+01
Step 4350,    w=0.48,    min_err=,    1.09110e+01
Step 4400,    w=0.48,    min_err=,    1.09110e+01
Step 4450,    w=0.47,    min_err=,    1.09087e+01
Step 4500,    w=0.47,    min_err=,    1.09087e+01
Step 4550,    w=0.47,    min_err=,    1.09064e+01
